python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-150, 78.00
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-90, 29.35
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-200, 38.49
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-850, 143.85
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-190, 83.54
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-140, 62.20
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-120, 94.12
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-700, 190.85
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-650, 654.20
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-500, 43.24
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-350, 172.58
